method,metric,mean,std,ci_95,min,max,median,n_seeds,formatted
MARS (full),lstm_f1_micro,0.1387,0.0,0.0,0.1387,0.1387,0.1387,1,0.139±0.000
MARS (full),lstm_threshold,0.45,0.0,0.0,0.45,0.45,0.45,1,0.450±0.000
MARS (full),lstm_f1_macro,0.0721,0.0,0.0,0.0721,0.0721,0.0721,1,0.072±0.000
MARS (full),lstm_auc,0.6748,0.0,0.0,0.6748,0.6748,0.6748,1,0.675±0.000
MARS (full),lstm_auc_weighted,0.6829,0.0,0.0,0.6829,0.6829,0.6829,1,0.683±0.000
MARS (full),precision@10,0.078,0.0,0.0,0.078,0.078,0.078,1,0.078±0.000
MARS (full),recall@10,0.068,0.0,0.0,0.068,0.068,0.068,1,0.068±0.000
MARS (full),ndcg@10,0.0834,0.0,0.0,0.0834,0.0834,0.0834,1,0.083±0.000
MARS (full),mrr,0.1217,0.0,0.0,0.1217,0.1217,0.1217,1,0.122±0.000
MARS (full),coverage,0.0428,0.0,0.0,0.0428,0.0428,0.0428,1,0.043±0.000
MARS (full),tag_coverage,0.0428,0.0,0.0,0.0428,0.0428,0.0428,1,0.043±0.000
MARS (full),question_coverage,0.0,0.0,0.0,0.0,0.0,0.0,1,0.000±0.000
MARS (full),learning_gain_raw,-0.017,0.0,0.0,-0.017,-0.017,-0.017,1,-0.017±0.000
MARS (full),learning_gain_raw_std,0.467,0.0,0.0,0.467,0.467,0.467,1,0.467±0.000
MARS (full),learning_gain,-0.0123,0.0,0.0,-0.0123,-0.0123,-0.0123,1,-0.012±0.000
MARS (full),learning_gain_std,0.4348,0.0,0.0,0.4348,0.4348,0.4348,1,0.435±0.000
MARS (full),learning_gain_trimmed,-0.0136,0.0,0.0,-0.0136,-0.0136,-0.0136,1,-0.014±0.000
