Method,AUC-ROC,AUC-ROC_mean,P@5,P@5_mean,P@10,P@10_mean,R@5,R@5_mean,R@10,R@10_mean,NDCG@5,NDCG@5_mean,NDCG@10,NDCG@10_mean,NDCG@20,NDCG@20_mean,MAP@5,MAP@5_mean,MAP@10,MAP@10_mean,MRR,MRR_mean,Coverage,Coverage_mean,Diversity,Diversity_mean,Novelty,Novelty_mean,Cold Acc@5,Cold Acc@5_mean,Conf F1,Conf F1_mean
Random,0.4958 ± 0.0061,0.49576000000000003,0.0191 ± 0.0029,0.019139999999999997,0.0227 ± 0.0033,0.02268,0.0088 ± 0.0011,0.00884,0.0253 ± 0.0055,0.025339999999999994,0.0195 ± 0.0014,0.019540000000000002,0.0257 ± 0.0024,0.025740000000000002,0.0358 ± 0.0041,0.0358,0.0093 ± 0.0010,0.00932,0.0089 ± 0.0006,0.0089,0.0528 ± 0.0045,0.052779999999999994,1.0000 ± 0.0000,1.0,1.0000 ± 0.0000,1.0,9.3294 ± 0.2544,9.32938,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
Popular,0.5000 ± 0.0000,0.5,0.2809 ± 0.0000,0.2809,0.2209 ± 0.0000,0.2209,0.1489 ± 0.0000,0.1489,0.2619 ± 0.0000,0.2619,0.2999 ± 0.0000,0.2999,0.2970 ± 0.0000,0.297,0.3091 ± 0.0000,0.3091,0.2451 ± 0.0000,0.2451,0.2025 ± 0.0000,0.20250000000000004,0.4156 ± 0.0000,0.4156000000000001,0.0341 ± 0.0000,0.0341,1.0000 ± 0.0000,1.0,0.7569 ± 0.0000,0.7569,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
CF-only,0.7077 ± 0.0009,0.70768,0.0819 ± 0.0018,0.08192,0.0863 ± 0.0021,0.08634,0.0827 ± 0.0016,0.08268,0.1479 ± 0.0046,0.1479,0.1062 ± 0.0023,0.10616,0.1340 ± 0.0015,0.134,0.1791 ± 0.0018,0.17908,0.0669 ± 0.0013,0.06688,0.0737 ± 0.0008,0.07374,0.1982 ± 0.0033,0.19816000000000003,0.4396 ± 0.0066,0.43957999999999997,1.0000 ± 0.0000,1.0,1.6449 ± 0.0039,1.64486,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
Content-only,0.4955 ± 0.0000,0.4955,0.0104 ± 0.0000,0.0104,0.0170 ± 0.0000,0.017,0.0020 ± 0.0000,0.002,0.0145 ± 0.0000,0.014500000000000002,0.0085 ± 0.0000,0.0085,0.0154 ± 0.0000,0.0154,0.0382 ± 0.0000,0.0382,0.0045 ± 0.0000,0.0045,0.0059 ± 0.0000,0.0059,0.0197 ± 0.0000,0.0197,0.2287 ± 0.0000,0.2287,1.0000 ± 0.0000,1.0,5.8603 ± 0.0000,5.8603,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
BPR-MF,0.7266 ± 0.0007,0.72656,0.2522 ± 0.0005,0.25217999999999996,0.1994 ± 0.0005,0.19938000000000003,0.1470 ± 0.0016,0.14698000000000003,0.2429 ± 0.0027,0.24289999999999998,0.2804 ± 0.0008,0.28044,0.2770 ± 0.0011,0.27702,0.2893 ± 0.0004,0.28928000000000004,0.2232 ± 0.0004,0.22321999999999997,0.1907 ± 0.0005,0.19066,0.3974 ± 0.0006,0.39736000000000005,0.3659 ± 0.0025,0.36588,1.0000 ± 0.0000,1.0,1.0579 ± 0.0008,1.0579,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
DKT,0.5094 ± 0.0357,0.50936,0.2809 ± 0.0000,0.2809,0.2181 ± 0.0034,0.21810000000000002,0.1489 ± 0.0000,0.1489,0.2563 ± 0.0075,0.25632,0.2988 ± 0.0021,0.29884,0.2928 ± 0.0034,0.29284000000000004,0.3053 ± 0.0020,0.30528000000000005,0.2441 ± 0.0017,0.24408,0.2009 ± 0.0018,0.20085999999999998,0.4089 ± 0.0070,0.40894,0.0341 ± 0.0000,0.0341,1.0000 ± 0.0000,1.0,0.7758 ± 0.0234,0.7758200000000001,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
SAKT,0.5311 ± 0.0218,0.53114,0.2791 ± 0.0025,0.27914,0.2200 ± 0.0032,0.22000000000000003,0.1477 ± 0.0021,0.14766,0.2575 ± 0.0086,0.25748,0.2978 ± 0.0022,0.29784,0.2943 ± 0.0039,0.29433999999999994,0.3053 ± 0.0019,0.30534,0.2432 ± 0.0018,0.24322,0.2017 ± 0.0022,0.20171999999999998,0.4105 ± 0.0047,0.41054,0.0437 ± 0.0025,0.04372,1.0000 ± 0.0000,1.0,0.8158 ± 0.0546,0.81584,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
Binary-conf,0.5484 ± 0.0000,0.5484,0.2809 ± 0.0000,0.2809,0.2209 ± 0.0000,0.2209,0.1489 ± 0.0000,0.1489,0.2619 ± 0.0000,0.2619,0.2999 ± 0.0000,0.2999,0.2970 ± 0.0000,0.297,0.3053 ± 0.0000,0.3053,0.2451 ± 0.0000,0.2451,0.2025 ± 0.0000,0.20250000000000004,0.4156 ± 0.0000,0.4156000000000001,0.0341 ± 0.0000,0.0341,1.0000 ± 0.0000,1.0,0.7569 ± 0.0000,0.7569,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
Monolithic,0.4582 ± 0.0000,0.4582,0.0139 ± 0.0000,0.0139,0.0178 ± 0.0000,0.0178,0.0032 ± 0.0000,0.0032,0.0088 ± 0.0000,0.0088,0.0116 ± 0.0000,0.0116,0.0154 ± 0.0000,0.0154,0.0238 ± 0.0000,0.0238,0.0057 ± 0.0000,0.0057,0.0068 ± 0.0000,0.006799999999999999,0.0210 ± 0.0000,0.021,0.1160 ± 0.0000,0.11600000000000002,1.0000 ± 0.0000,1.0,5.7211 ± 0.0000,5.7211,0.0000 ± 0.0000,0.0,0.0000 ± 0.0000,0.0
MARS (ours),0.5603 ± 0.0000,0.5603,0.2809 ± 0.0000,0.2809,0.2209 ± 0.0000,0.2209,0.1489 ± 0.0000,0.1489,0.2619 ± 0.0000,0.2619,0.3001 ± 0.0000,0.3001,0.2971 ± 0.0000,0.2971,0.3078 ± 0.0000,0.3078,0.2449 ± 0.0000,0.24489999999999998,0.2029 ± 0.0000,0.2029,0.4158 ± 0.0000,0.41580000000000006,0.0341 ± 0.0000,0.0341,1.0000 ± 0.0000,1.0,0.7569 ± 0.0000,0.7569,0.0000 ± 0.0000,0.0,1.0000 ± 0.0000,1.0
